,LTV_M,Purpose_M,Coop_M,Product_M,Occup_M,Back_M,BoCreditScor_M,PropType_M,Year,Bank,MortDate,Assigned_ID,Portfolio_Worthy
80,0.13,1.61,1.0,0.879,1.0,1.0,0.743,1.0,2017,Atlanta,2016,2092182,0
81,0.13,1.0,1.0,0.879,1.0,2.345,1.76,1.0,2017,Atlanta,2017,2092183,1
82,0.13,1.61,1.0,0.879,1.0,1.431,1.76,1.0,2017,Atlanta,2017,2092184,0
83,0.13,1.0,1.0,0.879,1.0,1.431,0.743,1.0,2017,Atlanta,2017,2092185,1
84,0.127,1.61,1.0,0.879,1.0,2.019,0.743,1.0,2017,Atlanta,2016,2092186,1
85,0.13,1.61,1.0,0.879,1.0,2.019,1.76,1.0,2017,Atlanta,2017,2092187,1
86,0.13,1.61,1.0,0.879,1.0,1.431,0.743,1.0,2017,Atlanta,2017,2092188,0
87,0.127,1.61,1.0,0.879,1.0,2.019,0.743,1.0,2017,Atlanta,2017,2092189,1
88,0.13,1.0,1.0,0.879,1.0,2.345,0.743,1.0,2017,Atlanta,2016,2092190,1
89,0.13,1.0,1.0,0.879,1.0,2.019,1.76,1.0,2017,Atlanta,2017,2092191,1
90,0.13,1.0,1.0,0.879,1.0,1.0,0.743,1.0,2017,Atlanta,2017,2092192,1
91,0.13,1.0,1.0,0.879,1.0,1.431,0.743,1.0,2017,Atlanta,2016,2092193,1
92,0.13,1.0,1.0,0.879,1.0,2.345,1.76,1.0,2017,Atlanta,2017,2092194,1
93,0.13,1.0,1.0,0.879,1.0,2.345,1.76,1.0,2017,Atlanta,2017,2092195,1
94,0.13,1.61,1.0,0.879,1.0,1.0,0.743,1.0,2017,Atlanta,2017,2092196,0
95,0.13,1.0,1.0,0.879,1.0,2.345,1.76,1.0,2017,Atlanta,2017,2092197,1
96,0.13,1.0,1.0,0.879,1.0,2.019,0.743,1.0,2017,Atlanta,2017,2092198,1
97,0.13,1.0,1.0,0.879,1.0,2.02,0.743,1.0,2017,Atlanta,2017,2092199,1
98,0.13,1.61,1.0,0.879,1.0,1.0,0.743,1.0,2017,Atlanta,2017,2092200,0
99,0.13,1.0,1.0,0.879,1.0,2.345,1.76,1.0,2017,Atlanta,2017,2092201,1
100,0.13,1.0,1.0,0.879,1.0,2.019,1.76,1.146,2017,Atlanta,2017,2092202,1
