,IncRat,LTV,Purpose,Coop,Product,FedGuar,Occup,Front,Back,BoCreditScor,PropType,UPB,Portfolio_Worthy
160,2.1487,0.99,1,2,1,2,1,0.1398,0.3397,2,7,0.39472837022132795,0
161,1.2008,0.8,1,2,1,2,1,0.2082,0.3808,5,7,0.4094567404426559,1
162,1.9133,0.8,1,2,1,2,1,0.0912,0.1518,5,1,0.2972696177062374,1
163,2.4515,0.56,1,2,1,2,1,0.096,0.1888,4,7,0.2640684104627766,1
164,2.2142,0.8,1,2,1,2,1,0.1352,0.2846,5,7,0.4816418511066398,1
165,1.0668,0.8,1,2,1,2,1,0.2335,0.2397,5,11,0.28490945674044266,1
166,3.1394,0.9,2,2,1,2,1,0.1526,0.1537,5,1,0.710112676056338,1
167,1.9499,0.8,1,2,1,2,1,0.1179,0.2002,5,1,0.26531187122736416,1
168,2.0380000000000003,0.82,2,2,1,2,1,0.1396,0.276,4,1,0.6335915492957745,1
169,2.3847,0.87,1,2,1,2,1,0.1962,0.3964,3,7,0.8092394366197182,1
170,1.0659999999999998,0.88,2,2,1,2,1,0.1655,0.4242,4,7,0.32623541247484905,1
171,1.1909999999999998,0.94,1,2,1,2,1,0.1716,0.2206,5,7,0.3879919517102616,1
172,1.2446,0.8,1,2,1,2,1,0.2651,0.4177,4,1,0.7143158953722334,1
173,0.8585,0.8,1,2,1,2,1,0.2217,0.3728,5,1,0.29125352112676056,1
174,0.3831,0.8,1,2,1,2,1,0.1784,0.33399999999999996,4,1,0.09219114688128771,1
175,0.9425,0.8,1,2,1,2,1,0.1972,0.2897,5,1,0.5363943661971831,1
176,1.0577,0.68,2,2,1,2,1,0.1173,0.2111,5,1,0.31807444668008045,1
177,1.41,0.67,2,2,1,2,1,0.1641,0.2476,5,7,0.3459496981891348,1
178,1.4244,0.93,2,2,1,2,1,0.21899999999999997,0.3205,5,1,0.6029557344064386,1
179,1.7569,0.8,1,2,1,2,1,0.1441,0.2328,5,7,0.462374245472837,1
180,2.2355,0.8,2,2,1,2,1,0.1347,0.2258,5,1,0.5488732394366197,1
181,1.2081,0.8,1,2,1,2,1,0.2909,0.3342,4,1,0.7924205231388329,1
182,1.1039,0.8,2,2,1,2,1,0.1978,0.3651,2,1,0.4171287726358149,0
183,1.4737,0.93,2,2,1,2,1,0.1513,0.2172,5,7,0.3769758551307847,1
184,1.5413,0.89,2,2,1,2,1,0.1041,0.1883,5,1,0.31636619718309855,1
185,3.0031,0.97,1,2,1,2,1,0.1181,0.3726,5,7,0.5697464788732394,1
186,1.4196,0.65,2,2,1,2,1,0.3081,0.4,5,1,0.8145171026156941,1
187,1.1764,0.77,2,2,1,2,1,0.0994,0.135,3,7,0.3346418511066398,0
188,0.937,0.72,2,2,1,2,1,0.1703,0.368,5,1,0.29879275653923537,1
189,0.9783,0.8,1,2,1,2,1,0.2553,0.4519,4,1,0.4496981891348088,1
190,0.4538,0.8,1,2,1,2,1,0.3133,0.3815,4,1,0.23022736418511064,1
191,2.0083,0.87,2,2,1,2,1,0.0981,0.3071,5,1,0.3893360160965795,1
192,1.5018,0.8,1,2,1,2,1,0.1798,0.2138,5,7,0.5482897384305835,1
193,1.9434,0.8,1,2,1,2,1,0.1532,0.4506,4,1,0.7137847082494969,1
194,1.1203,0.93,2,2,1,2,1,0.1648,0.1859,3,1,0.34336418511066397,0
195,0.8179,0.8,1,2,1,2,1,0.2898,0.4536,4,1,0.5317967806841046,1
196,0.9401,0.85,2,2,1,2,1,0.157,0.2444,4,1,0.20004828973843058,1
197,0.8949,0.8,1,2,1,2,1,0.218,0.3625,5,1,0.1378269617706237,1
198,1.7164,0.89,2,2,1,2,1,0.1015,0.1824,5,1,0.2330060362173038,1
199,0.5466,0.8,1,2,1,2,1,0.2434,0.2434,3,7,0.4269778672032193,1
200,2.7368,0.99,2,2,1,2,1,0.1106,0.21,4,7,0.5443219315895372,1
201,1.2526,0.8,1,2,1,2,1,0.1889,0.2821,5,1,0.75097384305835,1
202,0.5271,0.67,2,2,1,2,1,0.3186,0.3315,5,1,0.28470824949698187,1
203,1.0579,0.98,1,2,1,2,1,0.248,0.4429,5,7,0.3813541247484909,1
204,1.2678,0.8,2,2,1,2,1,0.1912,0.3561,4,7,0.7334004024144869,1
205,1.9433,0.67,1,2,1,2,1,0.2234,0.4231,5,7,0.31891348088531185,1
206,1.5630000000000002,0.8,1,2,1,2,1,0.1699,0.3681,4,1,0.61558953722334,1
207,1.3606,0.8,1,2,1,2,1,0.1843,0.3452,4,7,0.7525472837022132,1
208,0.9233,0.81,2,2,1,2,1,0.3042,0.3562,5,7,0.3221951710261569,1
209,1.5393,0.78,2,2,1,2,1,0.1746,0.3699,4,7,0.35191146881287727,1
210,2.1411,0.77,2,2,1,2,1,0.106,0.3903,4,1,0.3548993963782696,1
211,1.1241,0.8,1,2,1,2,1,0.1554,0.4463,4,1,0.24109859154929575,1
212,2.5442,0.99,2,2,1,2,1,0.1265,0.2402,5,7,0.4320885311871227,1
213,1.0035,0.88,2,2,1,2,1,0.2515,0.4062,4,7,0.442738430583501,1
214,1.3865,0.8,1,2,1,2,1,0.2203,0.36,5,1,0.7619718309859155,1
215,1.9905,0.95,1,2,1,2,1,0.1672,0.3337,5,7,0.4117183098591549,1
216,0.8259,0.8,1,2,1,2,1,0.2964,0.4946,5,7,0.49480482897384304,1
217,0.6141,0.94,1,2,1,2,1,0.3241,0.376,5,1,0.34038229376257545,1
218,1.1051,0.59,2,2,1,2,1,0.1409,0.2165,5,1,0.2187183098591549,1
219,0.8843,0.55,2,2,1,2,1,0.0847,0.4154,3,1,0.21057947686116696,0
220,1.0514,0.96,1,2,1,2,1,0.2088,0.2932,5,7,0.4057344064386318,1
221,2.1454,0.92,2,2,1,2,1,0.1277,0.2348,5,7,0.8158953722334004,1
222,1.5698,0.76,2,2,1,2,1,0.1454,0.2321,5,7,0.4170382293762575,1
223,0.9882,0.78,2,2,1,2,1,0.1716,0.2806,5,1,0.24204426559356135,1
224,1.7719999999999998,0.81,1,2,1,2,1,0.2394,0.3356,5,7,0.5895372233400402,1
225,0.6712,0.72,2,2,1,2,1,0.1876,0.3328,4,7,0.4299798792756539,1
226,2.0194,0.69,2,2,1,2,1,0.1988,0.2618,5,1,0.34310261569416495,1
227,1.7309999999999999,0.68,2,2,1,2,1,0.1259,0.1815,5,7,0.24255331991951712,1
228,2.323,0.8,2,2,1,2,1,0.1243,0.3576,4,7,0.25670221327967807,1
229,0.8179,0.98,2,2,1,2,1,0.1779,0.4058,4,1,0.16841046277665994,1
230,1.4304,0.72,2,2,1,2,1,0.1401,0.4046,5,1,0.2899134808853119,1
231,2.2723,0.94,2,2,1,2,1,0.1465,0.4094,4,1,0.3170120724346076,1
232,1.1507,0.67,2,2,1,2,1,0.1798,0.1949,5,7,0.18582494969818913,1
233,1.9657,0.8,2,2,1,2,1,0.1605,0.2426,5,1,0.5402414486921528,1
234,1.7471,0.81,2,2,1,2,1,0.1275,0.2318,4,7,0.28672032193158953,1
235,1.1320000000000001,0.61,2,2,1,2,1,0.2267,0.3998,4,1,0.4561187122736418,1
236,1.9657,0.98,2,2,1,2,1,0.1512,0.2592,5,7,0.5735110663983903,1
237,1.2747,0.67,2,2,1,2,1,0.1475,0.3393,3,1,0.23920523138833,0
238,2.3364,0.63,2,2,1,2,1,0.0938,0.1538,5,1,0.1901408450704225,1
239,2.715,0.57,2,2,1,2,1,0.138,0.165,5,1,0.6810865191146881,1
240,1.2336,0.96,2,2,1,2,1,0.1949,0.33799999999999997,5,1,0.32293762575452717,1
241,2.9465,0.92,2,2,1,2,1,0.1209,0.2491,5,7,0.68517907444668,1
242,1.3424,0.76,2,2,1,2,1,0.1157,0.2807,5,7,0.175215291750503,1
243,1.0309,0.58,2,2,1,2,1,0.2062,0.3322,5,1,0.20774647887323944,1
244,1.7206,0.85,2,2,1,2,1,0.114,0.3052,4,7,0.23148893360160966,1
245,2.3773,0.67,2,2,1,2,1,0.1992,0.3965,5,1,0.6429818913480885,1
246,2.0328,0.66,2,2,1,2,1,0.1934,0.3418,5,7,0.5490261569416499,1
247,1.9287,0.92,2,2,1,2,1,0.1847,0.2769,5,7,0.5853118712273642,1
248,1.9141,0.97,1,2,1,2,1,0.1983,0.2192,5,7,0.5527766599597586,1
249,1.0117,0.8,1,2,1,2,1,0.2416,0.3569,5,1,0.46579476861167,1
250,1.0196,0.8,1,2,1,2,1,0.2198,0.3961,4,1,0.33903420523138833,1
251,1.796,0.85,2,2,1,2,1,0.1265,0.2458,4,1,0.26647283702213276,1
252,1.6158,0.8,1,2,1,2,1,0.2493,0.4742,2,1,0.3260603621730382,0
253,1.9657,0.8,1,2,1,2,1,0.1018,0.3323,4,7,0.7112676056338028,1
254,1.2406,0.67,2,2,1,2,1,0.2364,0.3424,4,1,0.4488269617706237,1
255,1.0124,0.81,1,2,1,2,1,0.312,0.312,5,1,0.4160865191146881,1
256,1.3374,0.8,2,2,1,2,1,0.1838,0.4537,4,1,0.491158953722334,1
257,0.9163,0.85,1,2,1,2,1,0.3143,0.3975,4,7,0.5402414486921528,1
258,2.1066,0.8,1,2,1,2,1,0.11900000000000001,0.3046,4,7,0.4474849094567404,1
259,0.8997,0.8,1,2,1,2,1,0.1029,0.3952,5,1,0.11951710261569416,1
260,1.1595,0.59,2,2,1,2,1,0.2379,0.397,5,7,0.6533621730382293,1
261,1.9509999999999998,0.57,1,2,1,2,1,0.0858,0.2972,5,1,0.21905030181086516,1
262,1.9805,0.89,2,2,1,2,1,0.1029,0.1117,5,7,0.394215291750503,1
263,1.2053,0.8,1,2,1,2,1,0.1929,0.2939,4,7,0.38138832997987926,1
264,1.1304,0.84,2,2,1,2,1,0.1338,0.2174,4,1,0.21380684104627762,1
265,1.6038,0.8,2,2,1,2,1,0.195,0.36,5,7,0.5804828973843058,1
266,1.1192,0.8,1,2,1,2,1,0.1295,0.136,4,1,0.21077464788732392,1
267,1.2052,0.8,1,2,1,2,1,0.1729,0.4055,5,7,0.33452515090543256,1
268,0.8421,0.8,1,2,1,2,1,0.3025,0.3458,5,7,0.3299798792756539,1
269,0.9322,0.97,1,2,1,2,1,0.233,0.3414,5,7,0.3939899396378269,1
270,1.3512,0.67,2,2,1,2,1,0.0909,0.1694,5,1,0.2746659959758551,1
271,2.549,0.58,2,2,1,2,1,0.0671,0.2246,5,1,0.29944265593561364,1
272,1.4835,0.92,2,2,1,2,1,0.1849,0.3024,4,7,0.5553319919517102,1
273,1.2431,0.8,1,2,1,2,1,0.1511,0.3797,4,7,0.3050744466800805,1
274,0.9811,0.8,1,2,1,2,1,0.14300000000000002,0.2746,4,1,0.24168410462776657,1
275,1.4333,0.74,2,2,1,2,1,0.1334,0.2115,4,1,0.5183098591549296,1
276,3.0833,0.95,2,2,1,2,1,0.1325,0.2692,3,1,0.7977605633802817,0
277,1.2219,0.8,1,2,1,2,1,0.1392,0.2021,5,1,0.2602897384305835,1
278,1.2194,0.8,1,2,1,2,1,0.2206,0.3708,5,7,0.5255553319919517,1
279,1.319,0.69,2,2,1,2,1,0.2257,0.2483,5,1,0.3755291750503018,1
280,1.3018,0.8,1,2,1,2,1,0.1439,0.3585,5,7,0.32723340040241444,1
281,2.8944,0.8,1,2,1,2,1,0.1337,0.3015,5,7,0.5722072434607646,1
282,0.5632,0.8,1,2,1,2,1,0.3024,0.4453,4,1,0.38038229376257543,1
283,2.5263,0.97,2,2,1,2,1,0.1232,0.2196,5,7,0.6435492957746478,1
284,2.7411,0.93,1,2,1,2,1,0.08800000000000001,0.2476,5,1,0.5709517102615693,1
285,1.2221,0.8,1,2,1,2,1,0.1992,0.3769,5,1,0.45809456740442656,1
286,2.5126,0.77,2,2,1,2,1,0.0932,0.2043,4,7,0.6345754527162978,1
287,1.671,0.8,2,2,1,2,1,0.1451,0.1803,4,7,0.4356136820925553,1
288,0.8804,0.87,2,2,1,2,1,0.2129,0.2926,4,1,0.22814285714285715,1
289,1.5216,0.8,1,2,1,2,1,0.248,0.2548,5,1,0.49054728370221323,1
290,3.2495,0.95,2,2,1,2,1,0.1437,0.3544,5,1,0.4335050301810865,1
291,2.0765,0.95,1,2,1,2,1,0.177,0.1787,5,1,0.48730382293762575,1
292,1.5446,0.88,1,2,1,2,1,0.1857,0.4169,5,1,0.24872434607645877,1
293,1.8665,0.58,2,2,1,2,1,0.1398,0.2529,5,1,0.21699999999999997,1
294,1.5374,0.54,2,2,1,2,1,0.1078,0.3013,4,7,0.3119275653923541,1
295,1.62,0.49,2,2,1,2,1,0.3464,0.4206,5,7,0.8120865191146881,1
296,2.7775,0.8,2,2,1,2,1,0.2018,0.4014,4,7,0.706953722334004,1
297,2.0327,0.85,2,2,1,2,1,0.3091,0.4764,5,7,0.6449617706237424,1
298,3.2624,0.65,2,2,1,2,1,0.1995,0.2891,5,7,0.7296680080482897,1
299,0.8645,0.83,2,2,1,2,1,0.3357,0.4263,3,7,0.5597907444668008,0
